stats_name,pace,off_rating,def_rating,rating_diff,efg_pct,three_point_attempt_rate,true_shooting_pct,off_reb_pct,def_reb_pct,turnover_pct,assist_turnover_ratio,opp_efg_pct,opp_three_point_attempt_rate,opp_true_shooting_pct,opp_off_reb_pct,opp_def_reb_pct,forced_turnover_pct,opp_assist_turnover_ratio
Duke,68.5,120.2,91.6,28.6,56.8,44.4,60.4,36.5,77.9,15.4,1.58,46.2,45.7,49.5,22.1,63.5,17.7,0.96
Connecticut,68.2,113.6,95.2,18.4,55.3,40.3,58.4,33.7,74.1,16.3,1.65,45.7,36.2,51.1,25.9,66.3,17.6,0.88
Michigan State,68.9,114.6,99.8,14.8,53.6,36.4,58.1,37.2,79.7,16.6,1.61,48.6,46.0,53.0,20.3,62.8,14.5,1.32
Kansas,69.9,108.3,97.8,10.5,51.6,35.7,56.0,28.0,72.5,15.3,1.34,45.2,42.0,48.9,27.5,72.0,13.5,1.22
St. John's,73.4,111.2,95.0,16.1,51.0,33.8,55.9,33.5,73.2,14.3,1.55,47.4,33.7,51.5,26.8,66.5,18.7,0.86
Louisville,72.4,117.0,99.8,17.2,56.5,52.8,60.5,31.6,75.4,16.1,1.47,48.8,39.1,52.9,24.6,68.4,16.4,1.03
UCLA,67.9,114.5,105.0,9.6,53.9,35.9,58.1,28.9,69.4,12.9,1.86,50.5,44.7,55.1,30.6,71.1,17.3,1.31
Ohio State,69.0,115.6,105.8,9.8,56.5,40.1,61.0,27.8,71.6,15.1,1.36,50.3,40.5,54.9,28.4,72.2,15.4,1.27
TCU,72.4,108.1,99.7,8.4,50.9,36.9,55.2,32.2,73.1,15.1,1.43,51.0,38.2,54.7,26.9,67.8,19.2,1.14
UCF,72.9,111.1,107.9,3.2,52.8,34.4,56.6,32.7,73.1,15.4,1.41,52.4,39.7,56.7,26.9,67.3,15.5,1.23
USF,77.5,113.2,98.0,15.2,51.2,44.0,56.3,35.6,71.7,14.4,1.53,48.0,39.5,52.5,28.3,64.4,18.6,0.9
Northern Iowa,65.1,107.3,93.3,14.0,54.8,39.9,57.3,20.0,75.4,14.3,1.61,46.6,41.7,50.5,24.6,80.0,18.1,0.91
California Baptist,70.1,104.2,96.6,7.6,48.6,32.2,53.2,35.8,74.3,17.6,0.84,46.5,31.7,51.4,25.7,64.2,16.8,0.92
North Dakota State,71.1,113.6,98.2,15.4,54.5,41.9,57.8,31.9,76.9,15.1,1.44,51.1,44.2,54.8,23.1,68.1,19.3,0.98
Furman,68.8,111.2,103.0,8.1,55.3,47.1,58.1,31.6,75.4,17.0,1.34,49.4,42.3,52.7,24.6,68.4,13.5,1.29
Siena,65.9,107.0,99.9,7.1,50.6,31.9,55.4,30.3,72.0,15.7,1.3,48.6,39.3,52.2,28.0,69.7,16.8,1.04
Arizona,72.5,118.8,93.4,25.4,55.0,26.9,59.5,38.1,75.5,14.9,1.56,45.0,37.2,49.0,24.5,61.9,16.2,1.0
Purdue,66.8,122.3,105.3,17.0,57.6,40.9,60.6,35.0,75.2,13.3,2.25,52.3,45.0,55.3,24.8,65.0,15.4,1.43
Gonzaga,71.7,118.7,90.6,28.0,56.3,31.0,59.1,34.2,76.3,13.5,1.89,46.2,43.8,50.3,23.7,65.8,19.9,0.83
Arkansas,74.8,120.2,106.5,13.7,56.5,33.4,60.4,30.2,70.3,12.0,1.88,51.4,38.1,55.0,29.7,69.8,15.3,1.25
Wisconsin,71.5,116.1,106.5,9.6,54.5,52.6,58.8,27.3,73.4,12.5,1.79,51.3,40.2,55.1,26.6,72.7,14.2,1.36
BYU,72.7,115.4,103.6,11.7,54.7,39.8,58.6,32.6,73.9,15.0,1.23,51.2,39.2,54.6,26.1,67.4,16.0,1.27
Miami,71.4,114.7,100.7,14.0,55.6,31.7,58.8,34.2,76.0,15.7,1.43,51.8,41.0,54.9,24.0,65.8,18.0,1.09
Villanova,68.7,112.3,104.1,8.2,54.0,45.8,57.0,30.2,70.0,14.3,1.56,51.5,36.9,55.0,30.0,69.8,17.8,1.14
Utah State,70.1,117.7,99.4,18.2,57.3,41.2,60.6,31.9,70.1,15.1,1.66,49.2,40.6,54.1,29.9,68.1,20.0,0.83
Missouri,71.2,111.8,107.0,4.8,55.4,36.1,59.0,32.7,71.3,17.4,1.14,51.4,43.1,55.9,28.7,67.3,16.2,1.16
Texas,71.2,117.6,107.7,9.9,55.0,35.8,60.1,35.0,76.7,15.5,1.12,51.1,33.0,56.1,23.3,65.0,13.2,1.25
High Point,73.9,121.7,95.2,26.5,56.6,42.0,61.1,32.2,71.3,12.7,1.74,49.1,41.0,53.3,28.7,67.8,22.2,0.77
Hawaii,74.4,107.1,94.1,12.9,52.2,40.1,57.3,30.2,76.6,18.1,1.02,46.1,32.6,50.4,23.4,69.8,16.5,0.76
Kennesaw State,74.4,112.1,100.9,11.2,52.6,43.3,56.8,34.6,74.1,15.7,1.2,47.5,37.9,53.7,25.9,65.4,15.9,0.97
Queens-Charlotte,72.9,116.5,112.4,4.0,56.7,47.0,60.6,28.4,69.9,14.7,1.49,53.6,39.3,57.9,30.1,71.6,14.8,1.24
Long Island,69.3,106.9,100.7,6.2,53.3,29.0,56.3,33.8,70.0,18.8,1.05,49.8,33.2,53.5,30.0,66.2,18.3,0.98
Michigan,73.3,118.4,94.3,24.1,58.0,41.8,61.9,34.7,75.1,16.3,1.54,44.7,41.8,48.9,24.9,65.3,15.1,1.02
Iowa State,70.1,116.6,94.0,22.6,56.5,38.8,59.1,33.0,73.6,14.6,1.68,49.5,42.8,53.0,26.4,67.0,22.0,0.83
Virginia,69.2,116.5,98.0,18.4,54.6,46.5,58.2,37.2,73.1,15.6,1.53,45.3,37.5,50.5,26.9,62.8,15.1,1.11
Alabama,77.1,119.0,107.9,11.0,55.4,53.7,59.8,29.3,69.6,12.7,1.65,49.3,35.1,53.0,30.4,70.7,12.3,1.46
Texas Tech,69.6,115.5,104.1,11.4,56.2,48.0,58.8,32.3,71.5,15.5,1.44,49.4,35.0,53.0,28.5,67.7,14.4,1.09
Tennessee,69.6,114.2,98.8,15.3,51.6,31.7,55.5,44.7,75.5,16.8,1.45,47.7,44.4,52.1,24.5,55.3,15.8,0.96
Kentucky,71.4,113.2,103.3,9.8,53.1,39.2,57.3,32.5,71.7,14.7,1.52,48.8,39.6,53.6,28.3,67.5,15.5,1.26
Georgia,76.6,117.3,103.4,13.9,54.6,43.9,58.9,32.9,67.8,13.9,1.4,50.1,37.5,53.9,32.2,67.1,18.0,0.98
Saint Louis,73.5,118.8,94.5,24.3,60.0,45.4,63.2,30.2,75.2,17.0,1.47,44.0,41.5,49.4,24.8,69.8,15.9,1.01
Santa Clara,71.9,115.2,103.8,11.4,54.6,43.7,57.7,34.2,70.5,14.8,1.54,51.3,37.8,56.1,29.5,65.8,19.4,1.1
Miami Ohio,74.1,122.4,100.9,21.5,61.2,44.7,64.7,24.4,74.2,13.5,1.61,49.7,37.5,53.6,25.8,75.6,16.8,1.01
Akron,73.2,120.7,99.8,20.9,58.8,45.1,61.7,33.5,73.3,14.9,1.68,49.8,44.0,53.5,26.7,66.5,18.4,0.97
Hofstra,67.7,111.7,97.0,14.7,52.2,43.7,56.2,34.7,72.6,15.7,1.2,45.0,40.1,49.7,27.4,65.3,14.9,1.21
Wright State,71.0,113.8,103.8,9.9,54.9,33.4,59.0,32.6,73.1,15.8,1.23,51.4,34.5,55.4,26.9,67.4,16.9,0.99
Tennessee State,74.3,108.3,99.2,9.2,51.0,30.6,55.7,33.0,74.1,16.4,1.08,50.4,37.0,55.0,25.9,67.0,19.8,0.86
Howard,72.2,107.2,93.9,13.3,51.8,34.0,56.9,34.9,71.7,18.8,1.2,47.0,34.5,52.0,28.3,65.1,20.9,0.7
Florida,73.8,117.6,96.9,20.7,53.6,37.1,57.5,43.2,77.5,16.1,1.39,46.3,33.7,51.0,22.5,56.8,15.0,1.0
Houston,67.3,114.7,93.6,21.0,52.1,40.8,55.9,34.3,72.2,12.6,1.72,46.6,40.9,51.4,27.8,65.7,20.4,0.82
Illinois,68.6,122.9,102.1,20.8,55.1,50.7,59.4,38.4,74.1,13.0,1.64,47.6,42.2,50.6,25.9,61.6,11.4,1.71
Nebraska,68.4,113.0,95.1,17.8,55.4,50.7,58.6,25.3,74.4,14.3,1.84,47.8,49.3,51.2,25.6,74.7,18.6,1.1
Vanderbilt,73.0,118.3,102.5,15.9,55.3,43.6,60.3,29.0,71.4,13.0,1.72,48.8,37.9,54.4,28.6,71.0,17.4,0.91
North Carolina,70.5,113.2,100.2,13.0,54.6,42.3,57.8,29.2,75.3,13.7,1.65,48.2,36.9,51.2,24.7,70.8,13.2,1.34
Saint Mary's,67.5,115.8,94.2,21.7,53.3,36.3,58.6,36.1,78.7,16.0,1.43,46.2,36.4,49.8,21.3,63.9,15.1,1.2
Clemson,67.0,110.6,99.8,10.8,52.6,42.9,56.8,26.5,75.8,13.5,1.41,48.9,42.9,53.5,24.2,73.5,16.9,0.94
Iowa,64.3,116.4,102.3,14.1,56.6,41.8,60.7,28.5,73.5,14.9,1.6,52.7,39.2,57.2,26.5,71.5,20.2,0.89
Texas A&M,76.4,114.8,105.7,9.1,54.2,46.3,58.4,30.1,68.6,14.1,1.68,50.8,41.5,55.4,31.4,69.9,18.0,1.14
VCU,70.7,115.3,100.3,15.0,54.1,43.8,58.9,31.8,72.6,14.9,1.34,48.9,34.7,52.9,27.4,68.2,16.8,1.07
McNeese State,69.6,115.0,94.4,20.6,52.3,34.7,57.0,35.3,69.2,13.8,1.47,48.4,47.7,53.5,30.8,64.7,24.1,0.71
Troy,72.4,110.8,100.9,9.9,52.6,45.5,56.8,33.9,70.8,16.4,1.34,49.3,38.3,53.0,29.2,66.1,17.6,1.01
Penn,71.3,106.7,101.8,4.9,50.8,34.7,54.7,29.4,71.9,15.2,1.29,51.4,39.5,54.0,28.1,70.6,17.5,1.17
Idaho,71.8,109.5,101.1,8.4,53.1,46.8,57.1,26.7,79.0,14.7,1.18,49.4,36.9,54.3,21.0,73.3,15.1,1.06
Prairie View A&M,75.8,104.1,100.8,3.4,49.5,30.8,55.2,25.8,68.2,15.7,1.0,49.4,34.5,54.4,31.8,74.2,20.2,0.81
